CARD_NO,CUST_ID,Q1_SPEND,Q2_SPEND,Q3_SPEND,Q4_SPEND
CARD_60000,110,3307,4231,22449,31576
CARD_60001,101,21352,22097,12151,11358
CARD_60002,109,23587,33432,7152,24650
CARD_60003,105,15518,21714,4436,21016
CARD_60004,104,1475,34746,19669,8422
CARD_60005,102,24761,4484,9685,2984
CARD_60006,108,18883,15900,24184,2198
CARD_60007,107,20590,25854,26617,30357
CARD_60008,112,21815,1510,9408,20254
CARD_60009,103,13494,24058,23725,33792
CARD_60010,106,19612,28156,7297,30534
CARD_60011,,5680,8385,13539,18551
CARD_60012,999,11814,10843,9123,15320
